Name,Description,Cost Price (Exc. Tax),Tax Rate,Cost Price (Inc. Tax),Sale Price (Inc. Tax),Variable Price,Margin %,Tax Exempt/ EBT Eligible,Recommended Retail Price (RRP),Barcode,Category,Product Type,Tare Weight,
Chilly coffee cup,Chilly coffee cup,12.50000,NoTax,12.50000,22.00000,False,43.1800,False,0,,chilly,Standard,,
Red Bush tea,Red Bush tea,0.01450,NoTax,0.01450,0.03000,False,51.6700,False,0,,coffee /tea ,Standard,,
Chocolate buttons,Chocolate buttons,0.00800,NoTax,0.00800,0.01600,False,50.0000,False,0,,baking,Standard,,
Shower gel,Shower gel,0.00900,NoTax,0.00900,0.01450,False,37.9300,False,0,,bathroom,Standard,,
Floss Refill,Floss Refill,2.00000,NoTax,2.00000,3.50000,False,42.8600,False,0,,Dental,Standard,,
Rose Gold 260ml,Rose Gold 260ml,10.00000,NoTax,10.00000,20.00000,False,50.0000,False,0,,chilly,Standard,,
Stainless steel 260ml,Stainless steel 260ml,7.50000,NoTax,7.50000,15.00000,False,50.0000,False,0,,chilly,Standard,,
Matte black/black lid 260ml,Matte black/black lid 260ml,8.50000,NoTax,8.50000,17.00000,False,50.0000,False,0,,chilly,Standard,,
Yellow split peas,Yellow split peas,24.00000,NoTax,24.00000,0.25000,False,-9500.0000,False,0,,grains & beans ,Weighed,,
Almond flour,Almond flour,0.75000,20VAT,0.90000,1.80000,False,50.0000,False,0,,baking,Weighed,,
